group,names,scores,logfoldchanges,pvals,pvals_adj
B-cells,ENSG00000156738,78.18565,10.471368,0.0,0.0
B-cells,ENSG00000105369,71.31992,6.643319,0.0,0.0
B-cells,ENSG00000104894,68.88382,5.988937,0.0,0.0
B-cells,ENSG00000204287,67.44988,4.705611,0.0,0.0
B-cells,ENSG00000019582,63.11535,23.001245,0.0,0.0
B-cells,ENSG00000223865,58.940674,1.9901342,0.0,0.0
B-cells,ENSG00000231389,58.267643,1.7556058,0.0,0.0
B-cells,ENSG00000196735,55.867504,1.0574629,0.0,0.0
B-cells,ENSG00000179344,54.681877,2.1455655,0.0,0.0
B-cells,ENSG00000169442,52.09364,4.0519714,0.0,0.0
CAFs,ENSG00000011465,128.50261,59.032654,0.0,0.0
CAFs,ENSG00000139329,126.68585,53.140755,0.0,0.0
CAFs,ENSG00000164692,121.607666,83.936584,0.0,0.0
CAFs,ENSG00000108821,117.6221,107.93828,0.0,0.0
CAFs,ENSG00000168542,115.79781,66.60697,0.0,0.0
CAFs,ENSG00000182326,115.37129,13.152366,0.0,0.0
CAFs,ENSG00000143387,113.126205,15.645552,0.0,0.0
CAFs,ENSG00000142173,112.10218,17.25062,0.0,0.0
CAFs,ENSG00000145423,111.122055,41.88589,0.0,0.0
CAFs,ENSG00000163359,108.0125,14.532377,0.0,0.0
Cancer Epithelial,ENSG00000111057,199.74364,22.726976,0.0,0.0
Cancer Epithelial,ENSG00000170421,192.7196,14.364224,0.0,0.0
Cancer Epithelial,ENSG00000272398,189.67345,114.58405,0.0,0.0
Cancer Epithelial,ENSG00000171345,188.05354,43.336403,0.0,0.0
Cancer Epithelial,ENSG00000167642,187.20512,17.995087,0.0,0.0
Cancer Epithelial,ENSG00000215845,182.00772,10.685057,0.0,0.0
Cancer Epithelial,ENSG00000008394,178.23506,16.434013,0.0,0.0
Cancer Epithelial,ENSG00000125534,177.109,30.260439,0.0,0.0
Cancer Epithelial,ENSG00000112378,175.62764,12.153674,0.0,0.0
Cancer Epithelial,ENSG00000189143,171.88171,18.010693,0.0,0.0
Endothelial,ENSG00000131477,124.71647,16.141834,0.0,0.0
Endothelial,ENSG00000152583,122.446915,32.673233,0.0,0.0
Endothelial,ENSG00000130300,121.404686,20.202827,0.0,0.0
Endothelial,ENSG00000163453,119.63526,56.153957,0.0,0.0
Endothelial,ENSG00000261371,118.99225,11.219619,0.0,0.0
Endothelial,ENSG00000110799,118.59525,14.487573,0.0,0.0
Endothelial,ENSG00000127920,118.128494,11.259814,0.0,0.0
Endothelial,ENSG00000106991,114.66229,10.262263,0.0,0.0
Endothelial,ENSG00000175899,113.46844,12.154113,0.0,0.0
Endothelial,ENSG00000129538,113.099365,8.5282955,0.0,0.0
Myeloid,ENSG00000011600,151.97327,41.649582,0.0,0.0
Myeloid,ENSG00000158869,147.95644,24.455946,0.0,0.0
Myeloid,ENSG00000204472,142.65048,19.251709,0.0,0.0
Myeloid,ENSG00000204287,141.27715,116.8575,0.0,0.0
Myeloid,ENSG00000231389,136.79532,59.838318,0.0,0.0
Myeloid,ENSG00000019582,135.84288,242.75188,0.0,0.0
Myeloid,ENSG00000090382,135.78683,45.41126,0.0,0.0
Myeloid,ENSG00000087086,134.94641,473.0303,0.0,0.0
Myeloid,ENSG00000223865,134.7247,50.65491,0.0,0.0
Myeloid,ENSG00000129226,132.88786,21.315565,0.0,0.0
Normal Epithelial,ENSG00000184292,83.420586,19.986635,0.0,0.0
Normal Epithelial,ENSG00000112378,76.25299,7.519369,0.0,0.0
Normal Epithelial,ENSG00000170421,75.722374,12.244683,0.0,0.0
Normal Epithelial,ENSG00000120885,73.11822,10.433604,0.0,0.0
Normal Epithelial,ENSG00000135480,71.62418,14.047183,0.0,0.0
Normal Epithelial,ENSG00000111341,71.57934,197.80531,0.0,0.0
Normal Epithelial,ENSG00000100316,70.22883,74.82046,0.0,0.0
Normal Epithelial,ENSG00000167642,66.937,6.0825305,0.0,0.0
Normal Epithelial,ENSG00000101443,66.79924,10.089436,0.0,0.0
Normal Epithelial,ENSG00000169908,66.75571,21.417686,0.0,0.0
PVL,ENSG00000163453,106.30304,82.94681,0.0,0.0
PVL,ENSG00000101335,106.05593,28.41934,0.0,0.0
PVL,ENSG00000107796,103.67048,40.453995,0.0,0.0
PVL,ENSG00000149591,102.19339,45.24889,0.0,0.0
PVL,ENSG00000122786,98.813194,22.685463,0.0,0.0
PVL,ENSG00000152583,98.4594,20.337555,0.0,0.0
PVL,ENSG00000198467,96.78219,17.067797,0.0,0.0
PVL,ENSG00000185633,92.75409,13.815256,0.0,0.0
PVL,ENSG00000109610,92.06901,10.924829,0.0,0.0
PVL,ENSG00000148671,88.07513,12.903657,0.0,0.0
Plasmablasts,ENSG00000170476,92.730125,23.567535,0.0,0.0
Plasmablasts,ENSG00000180879,84.00504,39.115387,0.0,0.0
Plasmablasts,ENSG00000211896,83.894875,249.55466,0.0,0.0
Plasmablasts,ENSG00000099958,82.266335,15.511142,0.0,0.0
Plasmablasts,ENSG00000132465,76.94409,127.87618,0.0,0.0
Plasmablasts,ENSG00000211592,75.48925,788.8061,0.0,0.0
Plasmablasts,ENSG00000105369,73.92663,10.106975,0.0,0.0
Plasmablasts,ENSG00000134285,73.77718,7.940893,0.0,0.0
Plasmablasts,ENSG00000211892,73.3335,60.73632,0.0,0.0
Plasmablasts,ENSG00000135916,71.48752,8.833037,0.0,0.0
T-cells,ENSG00000198851,186.68935,7.6509724,0.0,0.0
T-cells,ENSG00000167286,170.17422,7.327534,0.0,0.0
T-cells,ENSG00000169442,169.17282,4.6022773,0.0,0.0
T-cells,ENSG00000121966,163.1522,6.7756333,0.0,0.0
T-cells,ENSG00000116824,163.01122,7.2811356,0.0,0.0
T-cells,ENSG00000081237,162.63002,3.6459022,0.0,0.0
T-cells,ENSG00000110848,161.81258,6.443993,0.0,0.0
T-cells,ENSG00000122862,150.92574,3.653347,0.0,0.0
T-cells,ENSG00000168685,145.42288,6.5237446,0.0,0.0
T-cells,ENSG00000173762,142.7991,7.2430844,0.0,0.0
